SRR1039512.202382	sp|O35973|PER1_MOUSE	95.0	20	1	0	61	2	778	797	1.11e-07	40.0
SRR1039512.584407	sp|O35973|PER1_MOUSE	100	19	0	0	63	7	1093	1111	1.06e-06	37.4
SRR1039512.2266242	sp|O35973|PER1_MOUSE	100	21	0	0	63	1	407	427	1.64e-10	48.1
SRR1039512.2530915	sp|O35973|PER1_MOUSE	80.0	20	4	0	62	3	569	588	1.23e-05	34.3
SRR1039512.2904197	sp|O35973|PER1_MOUSE	100	20	0	0	3	62	1158	1177	2.56e-06	36.2
SRR1039512.3055135	sp|O35973|PER1_MOUSE	100	20	0	0	62	3	344	363	2.91e-10	47.4
SRR1039512.3821131	sp|O35973|PER1_MOUSE	100	21	0	0	1	63	354	374	9.81e-12	51.6
SRR1039512.4202090	sp|O35973|PER1_MOUSE	95.0	20	1	0	62	3	628	647	1.02e-09	45.8
SRR1039512.4302584	sp|O35973|PER1_MOUSE	100	20	0	0	3	62	1125	1144	1.39e-09	45.4
SRR1039512.4309170	sp|O35973|PER1_MOUSE	90.0	20	2	0	2	61	1138	1157	2.56e-06	36.2
SRR1039512.4346895	sp|O35973|PER1_MOUSE	95.2	21	1	0	1	63	194	214	1.31e-08	42.7
SRR1039512.4574951	sp|O35973|PER1_MOUSE	100	20	0	0	3	62	79	98	3.51e-06	35.8
SRR1039512.4811942	sp|O35973|PER1_MOUSE	95.0	20	1	0	61	2	213	232	1.53e-07	39.7
SRR1039512.5022375	sp|O35973|PER1_MOUSE	100	20	0	0	2	61	1127	1146	1.39e-09	45.4
SRR1039512.5133229	sp|P01116|RASK_HUMAN	63.2	19	7	0	63	7	7	25	1.68e-04	31.2
SRR1039512.5257223	sp|P43354|NR4A2_HUMAN	85.0	20	3	0	4	63	463	482	8.91e-11	48.9
SRR1039512.5545849	sp|O35973|PER1_MOUSE	100	13	0	0	63	25	880	892	2.20e-04	30.8
SRR1039512.5713262	sp|O35973|PER1_MOUSE	95.2	21	1	0	63	1	468	488	1.31e-08	42.7
SRR1039512.5890143	sp|O35973|PER1_MOUSE	100	21	0	0	1	63	139	159	1.79e-08	42.4
SRR1039512.6568568	sp|O35973|PER1_MOUSE	89.5	19	2	0	4	60	939	957	3.34e-05	33.1
SRR1039512.6609291	sp|O35973|PER1_MOUSE	100	20	0	0	4	63	69	88	1.30e-05	34.3
