SRR1039520.58002	sp|O35973|PER1_MOUSE	90.5	21	2	0	63	1	300	320	5.12e-09	43.9
SRR1039520.104774	sp|O35973|PER1_MOUSE	90.5	21	2	0	63	1	680	700	1.18e-07	40.0
SRR1039520.724765	sp|O35973|PER1_MOUSE	100	20	0	0	2	61	83	102	1.23e-05	34.3
SRR1039520.912246	sp|O35973|PER1_MOUSE	78.9	19	4	0	62	6	923	941	3.51e-06	35.8
SRR1039520.1026781	sp|O35973|PER1_MOUSE	100	18	0	0	9	62	1	18	3.91e-07	38.5
SRR1039520.1226270	sp|O35973|PER1_MOUSE	89.5	19	2	0	2	58	580	598	5.96e-08	40.8
SRR1039520.1299924	sp|O35973|PER1_MOUSE	100	20	0	0	3	62	385	404	7.43e-10	46.2
SRR1039520.1306350	sp|O35973|PER1_MOUSE	80.0	20	4	0	2	61	986	1005	1.23e-05	34.3
SRR1039520.1315366	sp|O35973|PER1_MOUSE	88.9	18	2	0	9	62	939	956	2.85e-04	30.4
SRR1039520.1328759	sp|O35973|PER1_MOUSE	95.2	21	1	0	1	63	436	456	4.19e-10	47.0
SRR1039520.1450354	sp|O35973|PER1_MOUSE	95.2	21	1	0	63	1	787	807	2.45e-08	42.0
SRR1039520.1657680	sp|O35973|PER1_MOUSE	90.0	20	2	0	62	3	1201	1220	4.86e-09	43.9
SRR1039520.1776714	sp|O35973|PER1_MOUSE	100	20	0	0	3	62	405	424	1.02e-09	45.8
SRR1039520.1843724	sp|O35973|PER1_MOUSE	94.1	17	1	0	61	11	637	653	7.31e-07	37.7
SRR1039520.2115379	sp|O35973|PER1_MOUSE	100	21	0	0	1	63	709	729	3.01e-07	38.9
SRR1039520.2665949	sp|O35973|PER1_MOUSE	95.0	20	1	0	2	61	910	929	1.53e-07	39.7
SRR1039520.2885642	sp|O35973|PER1_MOUSE	95.0	20	1	0	3	62	1117	1136	6.65e-09	43.5
SRR1039520.3107635	sp|P43354|NR4A2_HUMAN	100	21	0	0	63	1	290	310	1.67e-10	48.1
SRR1039520.3466650	sp|O35973|PER1_MOUSE	95.0	20	1	0	2	61	470	489	5.96e-08	40.8
SRR1039520.3521335	sp|O35973|PER1_MOUSE	95.0	20	1	0	3	62	227	246	4.35e-08	41.2
SRR1039520.3543075	sp|O35973|PER1_MOUSE	95.2	21	1	0	63	1	1212	1232	2.74e-09	44.7
SRR1039520.3754446	sp|P01116|RASK_HUMAN	73.7	19	5	0	59	3	1	19	8.47e-05	32.0
